231 6072650	Dreamworks Dragons - Red Chompin Death Rampage	below_winner_threshold, low_margin, generic_page
681147061323	Dreamworks Dragons - Red Chompin Death Rampage	below_winner_threshold, low_margin, generic_page
681147088856	Gabby's Dollhouse Movie - 2-Pack Garden	below_winner_threshold, low_margin, generic_page
MGTC103	TC Dungeon Essentials	below_winner_threshold, low_margin, generic_page
MATTJBP96	Masters of the Universe Masterverse Vintage Collection Action Figure Stratos 18 cm	below_winner_threshold, low_margin, generic_page
42003	UNO Card Game	below_winner_threshold, low_margin, generic_page
5029736084233	Peppa Pig Peppa/George/Evie 3-Pack	below_winner_threshold, low_margin, generic_page
674 08423	Peppa Pig Peppa/George/Evie 3-Pack	below_winner_threshold, low_margin, generic_page
978-1398524262	The Dog Park Detectives - Blake Mara	winner_tie, low_margin
TTOM-T72980EN	Articulate! Board Game	below_winner_threshold, low_margin, generic_page
978-1406361803	A Monster Calls - Patrick Ness	winner_tie, low_margin
401510007	Band of Brothers Two-Player Starter Set (2025)	below_winner_threshold, low_margin, generic_page
401510006	Bolt Action Starter Set	below_winner_threshold, low_margin, generic_page
9781910931899	The Green Roasting Tin - Rukmini Iyer	winner_tie, low_margin
9781910931899	The Green Roasting Tin - Rukmini Iyer	winner_tie, low_margin
978-1398524262	The Dog Park Detectives - Blake Mara	winner_tie, low_margin
978-1406361803	A Monster Calls - Patrick Ness	winner_tie, low_margin
231 6072650	Dreamworks Dragons - Red Chompin Death Rampage	below_winner_threshold, low_margin, generic_page
681147061323	Dreamworks Dragons - Red Chompin Death Rampage	below_winner_threshold, low_margin, generic_page
681147088856	Gabby's Dollhouse Movie - 2-Pack Garden	below_winner_threshold, low_margin, generic_page
MGTC103	TC Dungeon Essentials	below_winner_threshold, low_margin, generic_page
MATTJBP96	Masters of the Universe Masterverse Vintage Collection Action Figure Stratos 18 cm	below_winner_threshold, low_margin, generic_page
42003	UNO Card Game	below_winner_threshold, low_margin, generic_page
5029736084233	Peppa Pig Peppa/George/Evie 3-Pack	below_winner_threshold, low_margin, generic_page
674 08423	Peppa Pig Peppa/George/Evie 3-Pack	below_winner_threshold, low_margin, generic_page
TTOM-T72980EN	Articulate! Board Game	below_winner_threshold, low_margin, generic_page
401510006	Bolt Action Starter Set	below_winner_threshold, low_margin, generic_page
401510007	Band of Brothers Two-Player Starter Set (2025)	below_winner_threshold, low_margin, generic_page
9781910931899	The Green Roasting Tin - Rukmini Iyer	winner_tie, low_margin
978-1398524262	The Dog Park Detectives - Blake Mara	winner_tie, low_margin
978-1406361803	A Monster Calls - Patrick Ness	winner_tie, low_margin
231 6072650	Dreamworks Dragons - Red Chompin Death Rampage	below_winner_threshold, low_margin, generic_page
681147061323	Dreamworks Dragons - Red Chompin Death Rampage	below_winner_threshold, low_margin, generic_page
681147088856	Gabby's Dollhouse Movie - 2-Pack Garden	below_winner_threshold, low_margin, generic_page
MGTC103	TC Dungeon Essentials	below_winner_threshold, low_margin, generic_page
MATTJBP96	Masters of the Universe Masterverse Vintage Collection Action Figure Stratos 18 cm	below_winner_threshold, low_margin, generic_page
42003	UNO Card Game	below_winner_threshold, low_margin, generic_page
5029736084233	Peppa Pig Peppa/George/Evie 3-Pack	below_winner_threshold, low_margin, generic_page
674 08423	Peppa Pig Peppa/George/Evie 3-Pack	below_winner_threshold, low_margin, generic_page
TTOM-T72980EN	Articulate! Board Game	below_winner_threshold, low_margin, generic_page
401510006	Bolt Action Starter Set	below_winner_threshold, low_margin, generic_page
401510007	Band of Brothers Two-Player Starter Set (2025)	below_winner_threshold, low_margin, generic_page
9781910931899	The Green Roasting Tin - Rukmini Iyer	winner_tie, low_margin
978-1398524262	The Dog Park Detectives - Blake Mara	winner_tie, low_margin
978-1406361803	A Monster Calls - Patrick Ness	winner_tie, low_margin
231 6072650	Dreamworks Dragons - Red Chompin Death Rampage	below_winner_threshold, low_margin, generic_page
681147061323	Dreamworks Dragons - Red Chompin Death Rampage	below_winner_threshold, low_margin, generic_page
681147088856	Gabby's Dollhouse Movie - 2-Pack Garden	below_winner_threshold, low_margin, generic_page
MGTC103	TC Dungeon Essentials	below_winner_threshold, low_margin, generic_page
MATTJBP96	Masters of the Universe Masterverse Vintage Collection Action Figure Stratos 18 cm	below_winner_threshold, low_margin, generic_page
42003	UNO Card Game	below_winner_threshold, low_margin, generic_page
5029736084233	Peppa Pig Peppa/George/Evie 3-Pack	below_winner_threshold, low_margin, generic_page
674 08423	Peppa Pig Peppa/George/Evie 3-Pack	below_winner_threshold, low_margin, generic_page
TTOM-T72980EN	Articulate! Board Game	below_winner_threshold, low_margin, generic_page
401510006	Bolt Action Starter Set	below_winner_threshold, low_margin, generic_page
401510007	Band of Brothers Two-Player Starter Set (2025)	below_winner_threshold, low_margin, generic_page
